"gender","coronaVirus","postalCode","loneliness","diarrhea","userId","insomnia","limbPain","coughing","generalHealth","soreThroat","temperature","runnyNose","headache","id","numberOfContacts","timestamp","yearOfBirth",
"2", "2", "77218", "5", "1", "Donatello", "4", "2", "2", "2", "2", "1", "2", "2", "899-52-8625", "522", "1584829156594", "1953", 
"2", "2", "13265", "3", "1", "Cezanne", "2", "2", "1", "3", "2", "1", "3", "3", "416-02-1447", "154", "1584828978666", "1961", 
"2", "3", "75372", "4", "2", "Manet", "4", "2", "1", "2", "1", "2", "1", "2", "529-69-2755", "444", "1584828899919", "1977", 
"1", "1", "94569", "2", "2", "Kahlo", "5", "2", "2", "4", "2", "2", "2", "1", "847-83-9594", "173", "1584829851323", "1984", 
"1", "3", "66771", "2", "2", "Caravaggio", "4", "2", "3", "4", "3", "2", "2", "1", "837-69-2355", "812", "1584828941451", "1997", 
"1", "2", "25115", "3", "2", "Rembrandt", "4", "2", "3", "5", "2", "2", "1", "2", "209-36-6728", "565", "1584829437360", "2000", 
"2", "2", "40812", "2", "2", "Durer", "5", "1", "1", "2", "1", "2", "3", "2", "142-25-8689", "439", "1584829696836", "1956", 
"2", "2", "72437", "1", "1", "Da Vinci", "5", "1", "2", "2", "2", "2", "2", "2", "468-65-9377", "637", "1584829140189", "1999", 
"1", "1", "40975", "3", "1", "Rubens", "2", "1", "3", "3", "1", "1", "2", "1", "105-60-8843", "415", "1584829832320", "1963", 
"2", "2", "55507", "4", "2", "Paul Klee", "2", "3", "2", "3", "2", "1", "1", "1", "266-97-5531", "778", "1584829326118", "1965", 
"2", "2", "25510", "2", "2", "Kahlo", "5", "2", "2", "2", "3", "2", "3", "1", "484-04-1757", "806", "1584828908896", "1963", 
"2", "2", "45167", "5", "2", "Diego Rivera", "4", "1", "1", "4", "1", "2", "1", "2", "579-88-2605", "927", "1584829103327", "1967", 
"3", "1", "98024", "3", "1", "Caravaggio", "2", "1", "2", "4", "1", "1", "2", "2", "670-21-2970", "11", "1584829652255", "1983", 
"1", "2", "70741", "3", "2", "Chagall", "2", "2", "2", "2", "2", "2", "2", "1", "583-96-0262", "526", "1584829477962", "1993", 
"2", "2", "29043", "5", "1", "Vettriano", "3", "2", "1", "4", "2", "2", "2", "3", "616-60-8354", "350", "1584828876859", "1985", 
"1", "2", "30359", "2", "2", "Botticelli", "5", "1", "3", "3", "2", "2", "2", "3", "114-32-7249", "912", "1584829397823", "1962", 
"3", "2", "59872", "3", "2", "El Greco", "2", "2", "2", "4", "2", "1", "3", "2", "650-27-0247", "960", "1584829460721", "1998", 
"2", "2", "87961", "3", "2", "El Greco", "5", "2", "1", "2", "2", "2", "2", "3", "729-34-9699", "335", "1584830165272", "1961", 
"2", "2", "50380", "4", "2", "Klimt", "5", "2", "2", "1", "2", "2", "2", "2", "181-64-5198", "252", "1584829214527", "1952", 
"1", "2", "55135", "3", "2", "Edward Hopper", "2", "2", "2", "5", "2", "2", "2", "1", "763-85-4522", "344", "1584829922751", "2003", 
"2", "3", "64025", "2", "2", "Matisse", "3", "2", "1", "2", "2", "2", "2", "3", "144-28-8369", "920", "1584828980539", "1963", 
"2", "3", "90551", "2", "2", "Durer", "2", "2", "2", "4", "1", "2", "2", "2", "290-82-1954", "301", "1584829681912", "1954", 
"2", "1", "28392", "5", "2", "Klimt", "1", "2", "2", "3", "2", "2", "2", "2", "137-81-7330", "551", "1584829755716", "1961", 
"1", "2", "43381", "3", "2", "Vincent", "4", "2", "1", "2", "2", "3", "2", "2", "492-83-1944", "786", "1584829386477", "1950", 
"2", "1", "22874", "5", "1", "Rothko", "4", "1", "2", "3", "3", "2", "2", "2", "608-86-2830", "967", "1584829849614", "1990", 
"2", "2", "56867", "4", "1", "Monet", "2", "2", "3", "4", "1", "3", "2", "2", "161-33-3022", "769", "1584829585201", "1982", 
"1", "2", "12612", "2", "2", "Chagall", "2", "3", "3", "2", "2", "2", "2", "2", "849-93-5527", "322", "1584829442482", "1983", 
"1", "2", "54094", "5", "1", "Degas", "3", "1", "2", "4", "2", "1", "2", "2", "673-91-7166", "327", "1584829197349", "1996", 
"2", "2", "77851", "2", "2", "Cezanne", "5", "1", "2", "2", "2", "1", "2", "1", "328-80-0982", "835", "1584829741590", "1972", 
"2", "2", "68530", "4", "1", "Munch", "3", "2", "2", "3", "1", "2", "1", "3", "159-97-9571", "172", "1584829775131", "1995", 
"2", "1", "43556", "4", "2", "Edward Hopper", "3", "2", "2", "4", "2", "1", "2", "2", "257-47-6320", "362", "1584829208634", "1973", 
"2", "2", "59044", "3", "1", "Caravaggio", "3", "2", "3", "2", "2", "1", "3", "1", "297-47-2952", "61", "1584830040627", "1989", 
"1", "2", "89427", "2", "2", "Paul Klee", "4", "3", "2", "3", "2", "2", "3", "1", "548-44-1264", "538", "1584829048796", "1990", 
"2", "2", "47296", "2", "1", "Vettriano", "5", "1", "3", "2", "1", "2", "1", "2", "085-88-4253", "931", "1584829539872", "1999", 
"2", "2", "98953", "2", "1", "Durer", "2", "1", "1", "4", "2", "2", "2", "3", "544-68-6224", "193", "1584829851081", "1974", 
"3", "2", "36533", "3", "2", "Rembrandt", "3", "2", "2", "5", "2", "2", "2", "2", "262-73-8713", "154", "1584829941115", "1956", 
"2", "2", "21146", "1", "2", "Vettriano", "3", "2", "3", "5", "2", "1", "2", "1", "611-38-0327", "296", "1584830094259", "1954", 
"2", "2", "62843", "3", "2", "Rubens", "1", "3", "1", "3", "2", "1", "1", "2", "292-63-1884", "561", "1584830085631", "1973", 
"2", "2", "53278", "2", "2", "Caravaggio", "2", "2", "1", "4", "2", "2", "3", "2", "699-81-7949", "886", "1584829736368", "1967", 
"1", "2", "25791", "3", "2", "Warhol", "1", "2", "2", "2", "2", "2", "2", "2", "027-86-7478", "777", "1584829117783", "1996", 
"2", "2", "21706", "2", "1", "Renoir", "3", "3", "2", "3", "1", "2", "2", "3", "031-36-2225", "855", "1584829691902", "1960", 
"2", "2", "81802", "3", "2", "Pollock", "2", "2", "1", "2", "2", "2", "3", "1", "519-19-6305", "387", "1584830210235", "2001", 
"2", "2", "92025", "3", "2", "Titian", "4", "2", "2", "5", "2", "2", "1", "3", "851-01-7389", "127", "1584829983578", "1957", 
"2", "2", "87024", "4", "1", "Ansel Adams", "3", "3", "2", "5", "1", "3", "2", "2", "581-45-2932", "596", "1584829634476", "1963", 
"2", "1", "24984", "2", "1", "Michelangelo", "2", "2", "2", "4", "3", "2", "1", "1", "791-64-4242", "624", "1584829112490", "1990", 
"2", "2", "36494", "5", "1", "Rubens", "3", "2", "1", "4", "1", "1", "1", "2", "880-96-5721", "502", "1584830101734", "1955", 
"1", "2", "13893", "4", "1", "Chagall", "5", "1", "3", "3", "2", "2", "2", "2", "634-49-2786", "718", "1584829913308", "1970", 
"2", "2", "93180", "4", "2", "Caravaggio", "3", "1", "1", "2", "3", "1", "2", "3", "333-07-1288", "215", "1584828947411", "1999", 
"2", "2", "59169", "1", "2", "Diego Rivera", "3", "2", "1", "5", "2", "2", "3", "2", "764-01-4742", "345", "1584829553709", "1998", 
"1", "1", "89176", "1", "2", "Raphael", "3", "3", "2", "5", "1", "2", "2", "1", "489-52-3617", "242", "1584829594450", "1989", 
"1", "1", "16028", "2", "1", "Da Vinci", "3", "2", "2", "4", "2", "2", "2", "2", "154-22-1066", "934", "1584828915486", "1980", 
"2", "1", "62932", "4", "2", "Gauguin", "4", "2", "2", "3", "1", "2", "1", "2", "023-74-0046", "277", "1584828942343", "1994", 
"2", "3", "88140", "5", "1", "Pollock", "2", "2", "2", "4", "2", "2", "2", "3", "671-38-7031", "915", "1584829532068", "1961", 
"2", "2", "48838", "1", "1", "Vettriano", "2", "1", "3", "2", "2", "2", "1", "2", "549-27-2825", "820", "1584829802294", "2004", 
"1", "2", "80926", "4", "2", "Cezanne", "2", "2", "1", "3", "1", "1", "2", "2", "620-55-1215", "415", "1584829525843", "1958", 
"1", "3", "78699", "4", "2", "Diego Rivera", "5", "2", "2", "5", "2", "2", "1", "2", "717-23-0195", "681", "1584830123164", "1982", 
"2", "2", "92325", "4", "1", "Degas", "4", "2", "1", "1", "2", "1", "2", "2", "873-45-8642", "233", "1584828925465", "1963", 
"1", "3", "58778", "5", "2", "Pissarro", "3", "2", "2", "4", "2", "3", "3", "2", "086-76-0179", "906", "1584829845141", "1995", 
"2", "2", "19681", "5", "2", "Titian", "2", "2", "1", "4", "2", "1", "2", "1", "143-58-0824", "484", "1584829881462", "1976", 
"1", "1", "18387", "4", "1", "Renoir", "4", "1", "2", "4", "2", "2", "2", "2", "840-40-1184", "651", "1584828935586", "1985", 
"1", "1", "11537", "5", "1", "Bernini", "1", "1", "3", "1", "2", "2", "2", "3", "370-20-7214", "229", "1584829767110", "1973", 
"1", "1", "40816", "2", "2", "Manet", "3", "2", "2", "5", "1", "2", "1", "1", "176-81-6649", "900", "1584829421357", "1986", 
"2", "1", "98804", "3", "2", "Da Vinci", "3", "2", "2", "2", "2", "2", "2", "1", "564-04-2105", "896", "1584829348186", "1978", 
"2", "3", "54316", "1", "1", "Winslow Homer", "1", "2", "2", "4", "2", "1", "2", "2", "250-20-6068", "47", "1584829675637", "1980", 
"2", "2", "90197", "4", "2", "Rubens", "3", "1", "1", "1", "1", "2", "1", "2", "352-40-6333", "206", "1584830026490", "1980", 
"1", "2", "94781", "3", "2", "Seurat", "5", "2", "2", "3", "1", "1", "1", "2", "060-75-0263", "394", "1584829916423", "1951", 
"2", "2", "65777", "3", "2", "Warhol", "1", "1", "2", "1", "2", "2", "2", "2", "582-48-5689", "734", "1584829992133", "1982", 
"1", "1", "55002", "2", "2", "Klimt", "1", "2", "2", "3", "2", "2", "2", "1", "710-49-2303", "780", "1584829834842", "1975", 
"2", "2", "65858", "5", "1", "Escher", "4", "2", "2", "5", "1", "3", "2", "1", "835-06-5152", "363", "1584829750107", "1981", 
"2", "2", "19543", "4", "2", "Kahlo", "2", "2", "2", "4", "2", "1", "2", "2", "021-16-0095", "476", "1584830133543", "2004", 
"1", "3", "47030", "5", "2", "Renoir", "2", "2", "2", "5", "2", "2", "2", "2", "443-10-5476", "978", "1584829326391", "1958", 
"2", "2", "21144", "5", "2", "Munch", "4", "2", "2", "4", "2", "2", "3", "2", "121-47-2211", "744", "1584828889250", "1961", 
"2", "2", "75977", "2", "2", "Monet", "4", "2", "2", "5", "2", "3", "2", "2", "017-20-1373", "311", "1584829437403", "1990", 
"2", "1", "51038", "3", "1", "Rothko", "5", "2", "1", "1", "2", "2", "2", "2", "362-59-2573", "887", "1584829923051", "1963", 
"3", "1", "94111", "5", "2", "Diego Rivera", "2", "3", "3", "5", "2", "1", "2", "2", "673-13-6286", "298", "1584828947513", "1964", 
"1", "2", "45490", "4", "1", "Bernini", "2", "2", "2", "2", "2", "2", "2", "2", "749-25-3107", "732", "1584829785238", "1953", 
"2", "3", "72435", "3", "2", "Da Vinci", "2", "1", "2", "1", "2", "2", "2", "2", "019-47-9412", "415", "1584830002307", "1982", 
"2", "2", "65781", "3", "1", "Raphael", "2", "2", "3", "3", "1", "2", "3", "3", "027-03-6649", "894", "1584830173056", "1954", 
"2", "1", "80201", "5", "2", "Vettriano", "3", "2", "2", "5", "2", "1", "1", "2", "360-76-6727", "876", "1584829442723", "1988", 
"1", "2", "33549", "1", "2", "Titian", "2", "2", "1", "5", "2", "2", "1", "2", "691-88-0491", "249", "1584829793444", "1963", 
"1", "2", "91794", "4", "1", "Magritte", "3", "2", "1", "3", "2", "2", "1", "1", "169-52-8120", "295", "1584829900746", "2001", 
"2", "3", "25035", "3", "1", "Cezanne", "1", "2", "2", "5", "3", "3", "2", "2", "103-55-9227", "705", "1584829153454", "1983", 
"2", "2", "21573", "2", "1", "Pollock", "3", "2", "2", "4", "3", "1", "2", "3", "220-10-7251", "490", "1584829576011", "1993", 
"2", "2", "15811", "5", "1", "Warhol", "2", "2", "1", "5", "2", "2", "2", "1", "130-16-3297", "273", "1584829290081", "1969", 
"2", "1", "21450", "2", "1", "Degas", "2", "2", "2", "1", "2", "3", "1", "2", "534-22-8043", "967", "1584829699352", "1995", 
"2", "2", "19637", "2", "2", "Botticelli", "3", "1", "3", "4", "1", "3", "2", "2", "812-62-0551", "316", "1584830179105", "1966", 
"1", "1", "67890", "1", "1", "El Greco", "4", "1", "1", "1", "2", "2", "2", "2", "147-84-4649", "701", "1584829721538", "1961", 
"2", "2", "79916", "2", "2", "Renoir", "5", "2", "2", "5", "1", "2", "2", "2", "143-92-5442", "104", "1584830075390", "1956", 
"3", "2", "73497", "2", "2", "Donatello", "5", "1", "3", "1", "2", "1", "2", "2", "126-19-8292", "617", "1584829640846", "1975", 
"2", "2", "54103", "2", "1", "Donatello", "2", "2", "3", "5", "2", "1", "2", "2", "511-85-9629", "83", "1584829337303", "1953", 
"3", "2", "26802", "1", "2", "Escher", "5", "1", "2", "5", "1", "2", "2", "3", "391-56-1662", "265", "1584829248780", "1993", 
"2", "2", "86362", "3", "1", "Warhol", "1", "1", "1", "3", "1", "1", "2", "3", "315-84-0650", "557", "1584829389245", "1989", 
"2", "2", "60306", "4", "1", "Edward Hopper", "3", "3", "2", "1", "3", "1", "2", "2", "811-84-7931", "195", "1584829305985", "1986", 
"2", "2", "78148", "5", "2", "Rembrandt", "4", "2", "3", "2", "3", "3", "3", "2", "424-96-6023", "376", "1584829453601", "1985", 
"1", "2", "75259", "3", "1", "Pissarro", "4", "2", "2", "1", "2", "3", "2", "2", "877-75-2994", "9", "1584828884421", "1995", 
"1", "2", "26487", "4", "2", "Caravaggio", "4", "2", "1", "2", "3", "1", "3", "2", "435-88-5770", "836", "1584829258813", "1999", 
"1", "3", "25969", "4", "2", "Edward Hopper", "3", "1", "2", "1", "2", "2", "2", "1", "503-37-2933", "322", "1584828894824", "2003", 
"2", "2", "15121", "5", "2", "Michelangelo", "4", "3", "2", "1", "2", "1", "2", "1", "271-53-5555", "422", "1584829433978", "1980", 
"1", "3", "84025", "5", "2", "Bernini", "3", "2", "2", "2", "3", "1", "1", "2", "740-61-0484", "319", "1584829790481", "1990", 
"1", "2", "65406", "5", "1", "Matisse", "4", "2", "2", "2", "2", "2", "2", "1", "820-96-0115", "965", "1584828895377", "2002", 
"3", "1", "19017", "5", "2", "Rembrandt", "5", "2", "3", "3", "2", "2", "3", "1", "785-37-8711", "464", "1584829828933", "1981", 
"1", "1", "47184", "3", "2", "Winslow Homer", "5", "3", "1", "4", "2", "1", "2", "1", "297-77-0973", "588", "1584828934222", "1994", 
"2", "2", "22597", "5", "2", "Pissarro", "2", "1", "2", "1", "3", "2", "1", "3", "527-89-7288", "866", "1584829344156", "1995", 
"3", "1", "58676", "5", "1", "Escher", "4", "2", "1", "5", "2", "2", "2", "2", "722-48-7264", "103", "1584829411752", "1991", 
"3", "2", "23087", "1", "1", "Pollock", "5", "3", "2", "4", "3", "3", "2", "1", "492-08-7437", "424", "1584828947773", "1968", 
"2", "2", "68956", "1", "2", "Munch", "2", "2", "2", "4", "2", "1", "2", "2", "626-02-8848", "838", "1584829278327", "1988", 
"3", "1", "47635", "1", "2", "Chagall", "2", "3", "1", "3", "2", "3", "2", "2", "132-99-7576", "807", "1584829040141", "1997", 
"2", "2", "42831", "5", "2", "Donatello", "1", "2", "2", "2", "2", "1", "2", "2", "381-43-8324", "217", "1584830172927", "1983", 
"2", "1", "63813", "4", "2", "Manet", "4", "2", "3", "2", "3", "2", "1", "2", "012-72-8504", "655", "1584829828847", "1951", 
"3", "1", "72535", "5", "2", "Dali", "2", "2", "1", "2", "1", "2", "2", "2", "701-82-6575", "881", "1584829681783", "1961", 
"1", "2", "45670", "3", "2", "Gauguin", "2", "1", "2", "2", "2", "2", "2", "3", "126-52-5791", "848", "1584829979824", "1990", 
"2", "2", "25732", "4", "1", "Warhol", "4", "2", "2", "2", "2", "2", "2", "2", "644-42-6875", "208", "1584828925895", "1985", 
"1", "3", "62649", "1", "2", "Vincent", "4", "2", "2", "1", "2", "1", "2", "1", "473-54-1866", "597", "1584829935364", "1951", 
"2", "3", "16037", "2", "2", "Bernini", "5", "1", "2", "2", "2", "2", "2", "1", "017-82-7387", "38", "1584829678831", "1973", 
"1", "2", "65087", "2", "2", "Vettriano", "5", "2", "1", "2", "3", "2", "2", "2", "658-77-4202", "347", "1584828894200", "1965", 
"2", "2", "32833", "4", "2", "Vincent", "4", "2", "1", "4", "2", "1", "2", "2", "744-69-4965", "638", "1584829908225", "1988", 
"3", "2", "34777", "2", "2", "Munch", "3", "1", "2", "1", "2", "2", "1", "2", "531-86-3507", "765", "1584829582093", "1979", 
"1", "1", "71044", "2", "1", "Munch", "1", "2", "1", "1", "2", "2", "2", "3", "054-14-4195", "613", "1584829588114", "1985", 
"2", "1", "91223", "2", "2", "Bernini", "3", "2", "2", "4", "2", "2", "2", "2", "264-67-0168", "762", "1584829164453", "1979", 
"1", "2", "98857", "4", "2", "Manet", "4", "2", "2", "3", "2", "1", "2", "2", "235-17-5475", "8", "1584829892371", "1952", 
"2", "2", "83736", "4", "2", "Da Vinci", "4", "2", "2", "4", "1", "1", "2", "1", "409-38-4066", "624", "1584829013731", "2003", 
"1", "2", "85848", "4", "2", "Munch", "4", "2", "2", "5", "2", "2", "1", "2", "127-07-3491", "666", "1584828915371", "1961", 
"2", "3", "40632", "4", "2", "Da Vinci", "3", "1", "2", "1", "2", "2", "2", "2", "888-20-9527", "898", "1584830075692", "1966", 
"2", "2", "96536", "3", "1", "Chagall", "5", "2", "1", "2", "2", "2", "1", "2", "039-86-2546", "219", "1584828942102", "1993", 
"2", "1", "91968", "4", "2", "Winslow Homer", "1", "1", "3", "3", "2", "1", "1", "2", "625-46-0977", "620", "1584828939755", "1962", 
"2", "3", "32342", "3", "1", "Degas", "4", "2", "2", "5", "2", "1", "2", "2", "717-74-6155", "45", "1584829578788", "1962", 
"2", "1", "97451", "2", "2", "Winslow Homer", "2", "2", "1", "2", "2", "2", "2", "2", "255-78-1181", "29", "1584829772832", "1978", 
"3", "1", "13077", "1", "2", "Kahlo", "4", "1", "2", "5", "2", "2", "2", "2", "821-12-1202", "886", "1584830044836", "1968", 
"1", "2", "94032", "1", "2", "Klimt", "3", "3", "2", "3", "2", "2", "2", "2", "447-99-4247", "191", "1584828983787", "1959", 
"2", "2", "70419", "5", "2", "Edward Hopper", "4", "2", "2", "1", "2", "2", "1", "2", "194-96-6436", "383", "1584829594684", "1955", 
"2", "1", "65414", "4", "2", "Munch", "2", "1", "2", "5", "3", "3", "2", "2", "028-81-2659", "8", "1584829555665", "1977", 
"2", "2", "80927", "5", "1", "Vincent", "3", "1", "1", "5", "1", "2", "2", "2", "877-77-8655", "710", "1584829348008", "1983", 
"2", "2", "84926", "3", "1", "Renoir", "5", "2", "1", "1", "1", "2", "1", "2", "579-89-4604", "359", "1584829277693", "1972", 
"1", "2", "47035", "4", "1", "Diego Rivera", "5", "2", "2", "2", "3", "1", "1", "1", "444-07-7919", "311", "1584829873047", "1989", 
"3", "3", "32258", "1", "2", "Monet", "4", "2", "2", "5", "2", "2", "2", "2", "557-37-7829", "531", "1584828894799", "1964", 
"1", "1", "89956", "5", "2", "Seurat", "2", "1", "2", "2", "2", "1", "3", "2", "790-51-5334", "651", "1584829498975", "1977", 
"2", "1", "80316", "3", "2", "Vettriano", "5", "2", "2", "4", "2", "2", "2", "2", "332-44-2359", "445", "1584829305801", "1951", 
"2", "1", "40417", "4", "2", "Winslow Homer", "2", "2", "3", "5", "2", "3", "1", "1", "811-65-2609", "784", "1584829099753", "1994", 
"3", "2", "54730", "4", "1", "Rembrandt", "2", "2", "2", "5", "2", "2", "2", "1", "725-30-7533", "809", "1584829194097", "2003", 
"2", "2", "11036", "3", "1", "Kandinsky", "5", "2", "2", "4", "1", "3", "2", "2", "775-36-6968", "544", "1584829578846", "1955", 
"3", "1", "96499", "3", "2", "Edward Hopper", "5", "1", "1", "5", "2", "1", "1", "1", "338-32-2363", "749", "1584828880037", "1977", 
"2", "2", "86734", "5", "2", "Winslow Homer", "3", "2", "1", "1", "2", "1", "2", "2", "858-23-7790", "148", "1584830187350", "1962", 
"2", "2", "13630", "4", "2", "Monet", "3", "2", "1", "2", "2", "2", "2", "1", "431-10-1065", "692", "1584829539845", "1976", 
"2", "2", "12693", "5", "1", "Durer", "2", "2", "2", "4", "2", "2", "3", "2", "214-25-5878", "469", "1584829428227", "1984", 
"2", "3", "43939", "3", "2", "Bernini", "3", "1", "3", "4", "2", "1", "3", "3", "255-36-4906", "605", "1584828951486", "1987", 
"2", "2", "65283", "5", "2", "Winslow Homer", "1", "1", "2", "2", "3", "1", "1", "2", "101-43-3910", "274", "1584829981150", "1965", 
"2", "2", "43320", "2", "2", "Botticelli", "1", "1", "1", "2", "2", "2", "2", "1", "152-83-0133", "344", "1584829078644", "1994", 
"1", "1", "21652", "5", "2", "Joan Miro", "1", "1", "1", "5", "2", "2", "2", "2", "675-56-2226", "846", "1584829214577", "1954", 
"2", "3", "95787", "5", "2", "Rubens", "5", "2", "2", "3", "1", "2", "2", "2", "018-88-2016", "684", "1584829866433", "1985", 
"2", "2", "70265", "3", "2", "Seurat", "4", "2", "3", "2", "1", "2", "2", "2", "786-79-7600", "860", "1584829515360", "1981", 
"2", "1", "62489", "1", "2", "Kahlo", "5", "2", "2", "3", "2", "1", "2", "2", "412-95-3447", "9", "1584829594475", "1983", 
"2", "3", "51902", "3", "2", "Pissarro", "3", "1", "2", "4", "3", "1", "2", "2", "272-31-6410", "578", "1584829033476", "1997", 
"1", "2", "88080", "5", "1", "Kahlo", "3", "2", "2", "1", "1", "2", "3", "2", "365-70-2944", "734", "1584829287216", "1986", 
"2", "2", "96776", "5", "1", "Raphael", "5", "3", "2", "3", "2", "2", "1", "2", "041-03-8148", "635", "1584828954587", "1952", 
"2", "2", "63286", "3", "1", "Joan Miro", "1", "1", "1", "5", "1", "1", "2", "1", "812-39-0820", "665", "1584828941267", "2004", 
"2", "1", "69656", "4", "1", "Bernini", "4", "2", "3", "5", "3", "2", "2", "1", "274-20-1353", "487", "1584828932786", "1968", 
"2", "1", "53500", "4", "2", "Joan Miro", "3", "2", "1", "1", "3", "2", "3", "2", "409-27-1611", "479", "1584828915161", "1986", 
"2", "1", "32202", "5", "1", "Ansel Adams", "5", "2", "1", "2", "2", "2", "1", "2", "558-87-1692", "976", "1584828966931", "1967", 
"2", "1", "51524", "5", "1", "Raphael", "4", "2", "2", "3", "2", "2", "2", "2", "549-48-8050", "652", "1584828990213", "1989", 
"1", "3", "64446", "5", "2", "Klimt", "5", "2", "2", "1", "1", "2", "2", "2", "577-84-6795", "285", "1584829829018", "1954", 
"2", "2", "87224", "3", "2", "Magritte", "4", "3", "1", "5", "1", "2", "2", "2", "169-76-1264", "798", "1584829262680", "1971", 
"2", "2", "44996", "3", "2", "Joan Miro", "3", "3", "2", "5", "2", "2", "1", "2", "381-16-3364", "818", "1584829484970", "1976", 
"2", "2", "89007", "5", "2", "Pollock", "4", "2", "1", "5", "3", "1", "2", "2", "851-65-2253", "732", "1584829981058", "1955", 
"3", "2", "14982", "4", "2", "Edward Hopper", "3", "2", "1", "4", "2", "1", "2", "2", "318-30-6837", "839", "1584828940736", "1966", 
"1", "1", "77419", "1", "2", "Edward Hopper", "3", "1", "2", "5", "2", "1", "3", "2", "378-67-1380", "432", "1584830210379", "1989", 
"2", "1", "52292", "4", "1", "Joan Miro", "5", "2", "2", "3", "2", "1", "3", "1", "040-87-5321", "221", "1584830140091", "1957", 
"2", "2", "55697", "4", "2", "Matisse", "3", "1", "2", "2", "2", "2", "3", "2", "028-21-3631", "902", "1584828941429", "1991", 
"2", "2", "77675", "5", "1", "Da Vinci", "1", "1", "3", "4", "1", "2", "2", "2", "548-54-9713", "231", "1584829159958", "1996", 
"2", "2", "35675", "5", "2", "Caravaggio", "5", "3", "2", "5", "2", "1", "2", "2", "159-13-3912", "828", "1584830104637", "1989", 
"2", "3", "39587", "4", "1", "Kandinsky", "5", "2", "2", "4", "2", "1", "1", "1", "077-30-2321", "647", "1584828881571", "1989", 
