"id (S)","timestamp (S)","coronaVirus (N)","coughing (N)","diarrhea (N)","gender (N)","generalHealth (N)","headache (N)","insomnia (N)","limbPain (N)","loneliness (N)","numberOfContacts (N)","postalCode (S)","runnyNose (N)","soreThroat (N)","temperature (N)","userId (S)","yearOfBirth (N)"
"216-32-8587","1584808200932","3","2","2","2","2","1","3","2","5","71","45766","2","3","2","Donatello","1995"
"243-48-1030","1584808207209","1","2","2","3","5","1","2","2","3","319","81674","1","3","2","Picasso","1966"
"253-73-5051","1584808206451","2","1","1","2","5","1","2","2","2","898","84798","2","1","2","Da Vinci","2004"
"274-92-3310","1584808211346","3","2","2","2","2","3","2","2","4","302","35766","2","2","2","Raphael","1958"
"276-81-0206","1584808205318","1","2","1","2","5","3","2","2","3","40","37574","2","1","2","Rembrandt","1956"
"300-92-6523","1584808206827","1","3","1","1","2","1","4","1","4","861","93787","2","1","2","Botticelli","1968"
"303-50-1152","1584808205431","2","1","2","3","4","2","4","2","4","50","70726","3","1","2","Titian","1983"
"303-51-4715","1584808207263","2","2","2","2","5","2","3","3","5","209","99416","1","1","2","Da Vinci","1957"
"307-77-6279","1584808206606","2","2","1","2","2","2","4","2","4","147","45321","2","2","2","Vettriano","1988"
"317-21-7583","1584808225484","1","1","2","1","2","2","5","2","5","321","50511","1","2","2","El Greco","2000"
"321-04-6085","1584808195810","2","1","2","2","1","1","4","2","2","807","77056","1","3","3","Winslow Homer","1968"
"331-83-2441","1584808188134","3","3","2","2","1","1","3","3","3","76","65574","1","2","2","Escher","1963"
"335-24-0438","1584808197993","1","1","2","2","4","3","5","3","4","760","84345","1","2","1","Rembrandt","1967"
"340-15-7717","1584808205619","1","2","2","1","2","1","4","1","4","579","17420","2","3","1","Rothko","1950"
"352-95-2343","1584808189385","2","3","2","1","2","1","2","1","4","744","23597","1","2","2","Warhol","1999"
"362-35-5288","1584808200135","2","1","2","1","5","1","2","1","2","643","51941","3","2","2","Gauguin","1979"
"362-69-8941","1584808219496","1","2","1","1","4","3","2","2","4","215","80361","1","1","2","Gauguin","2003"
"362-83-5032","1584808207394","2","2","1","1","1","2","3","2","2","935","80031","1","2","1","Seurat","1965"
"374-75-9958","1584808205812","3","2","2","2","5","1","5","2","2","506","63699","1","2","2","Matisse","1955"
"391-54-3937","1584808220065","1","2","1","1","1","2","5","2","4","648","63733","1","1","2","Matisse","1993"
"393-27-0387","1584808212306","1","2","1","2","4","2","3","2","2","971","67129","1","2","3","Gauguin","1955"
"422-15-5528","1584808194708","2","2","1","2","4","3","2","3","3","493","97124","1","1","2","Seurat","1989"
"429-54-5357","1584808188918","2","2","2","1","2","2","5","2","2","570","43652","2","2","1","Vincent","1990"
"448-55-0582","1584808224946","2","2","1","2","5","3","2","2","5","747","96349","1","2","2","Picasso","1994"
"452-83-5559","1584808198086","2","3","2","2","4","3","4","2","5","504","15391","3","3","1","Warhol","1973"
"482-07-1783","1584808194460","1","2","1","3","3","1","3","2","4","414","68778","2","2","2","Vettriano","1970"
"486-29-2934","1584808191109","1","2","1","1","5","2","5","1","5","284","86314","1","3","2","Joan Miro","1981"
"500-54-7993","1584808206493","2","2","2","2","2","1","3","2","3","495","53933","1","1","1","Vettriano","1969"
"511-84-5932","1584808227730","2","3","1","1","5","2","4","2","5","615","67506","2","1","1","Titian","1973"
"511-85-4484","1584808201066","3","1","2","2","4","1","4","1","3","198","97535","2","1","2","Escher","1960"
"519-43-4873","1584808197861","2","1","2","2","5","1","2","3","3","255","61225","1","2","2","Winslow Homer","1951"
"524-60-0946","1584808211537","2","3","1","2","2","2","3","2","5","979","93060","2","2","2","Manet","1951"
"525-45-7512","1584808207372","2","2","2","2","5","1","4","2","2","668","12632","2","2","1","Gauguin","1956"
"534-56-0404","1584808216056","1","2","2","3","5","2","4","2","4","607","64892","1","1","2","Michelangelo","1993"
"544-56-4305","1584808196899","3","1","2","2","5","2","1","3","3","419","37156","1","2","2","Chagall","1970"
"577-11-5749","1584808188763","3","1","2","2","1","1","2","2","5","525","77001","2","3","2","Manet","1954"
"583-89-6931","1584808225956","2","2","2","1","3","1","1","1","2","250","41432","1","2","2","Winslow Homer","1992"
"592-15-9858","1584808205005","2","2","2","2","2","2","3","1","3","945","57294","1","3","2","Michelangelo","1977"
"595-73-6477","1584808222099","1","3","1","2","4","2","1","2","4","667","28485","2","2","2","Da Vinci","1974"
"597-40-3865","1584808205922","1","1","2","2","1","2","3","2","3","626","56943","3","2","3","Rothko","1989"
"613-73-3714","1584808194957","1","2","2","1","2","1","2","2","1","251","70131","2","2","1","El Greco","1974"
"626-71-3962","1584808228812","1","2","2","2","5","2","5","2","5","317","81644","2","3","1","Botticelli","1990"
"635-62-7329","1584808205211","1","2","2","2","3","2","2","2","5","454","31069","1","1","2","Botticelli","1986"
"641-42-2468","1584808188208","2","2","1","1","1","1","5","1","4","166","94095","1","2","2","Michelangelo","1953"
"655-81-2880","1584808222119","1","1","2","1","4","2","5","2","3","189","90462","2","2","2","Winslow Homer","1980"
"668-25-5706","1584808188790","1","2","2","2","4","2","3","2","5","595","27923","2","3","2","Winslow Homer","1970"
"668-59-7061","1584808205144","1","1","2","2","3","2","4","1","4","311","80478","2","2","1","Renoir","1987"
"670-19-7911","1584808221950","1","2","2","1","3","2","4","2","1","42","24399","2","2","3","Paul Klee","1981"
"679-20-1762","1584808224925","1","3","1","3","3","2","2","2","4","630","72471","1","2","1","Degas","1980"
"697-65-9101","1584808212068","2","1","2","2","3","2","3","2","5","77","83057","2","2","1","Bernini","1986"
"703-36-5220","1584808224249","2","2","2","2","2","2","3","2","2","299","10220","2","1","2","Donatello","1964"
"714-96-8245","1584808215995","1","2","2","1","3","2","4","2","4","255","63262","3","2","2","Chagall","1992"
"715-18-3285","1584808231256","2","2","2","2","4","2","4","2","1","164","24428","2","3","2","Bernini","1966"
"733-99-5457","1584808207024","2","2","2","2","5","2","5","1","4","781","30974","1","3","2","Picasso","1958"
"748-36-6010","1584808216349","2","1","2","2","3","3","4","2","1","729","44519","1","2","1","Munch","1951"
"754-91-5842","1584808216140","3","2","2","2","5","3","2","3","3","481","50955","2","2","3","Titian","1965"
"767-28-2602","1584808226132","2","2","2","3","2","2","2","1","5","425","73756","1","2","3","Rubens","1994"
"781-99-3118","1584808215912","2","2","1","2","3","1","2","1","4","578","76689","2","2","3","Pissarro","1982"
"782-57-7860","1584808194173","2","2","1","2","5","2","2","2","1","410","75964","2","2","2","Renoir","1985"
"796-05-6453","1584808211045","1","2","2","2","4","2","5","1","5","181","47226","3","2","2","Rubens","1969"
"799-70-0990","1584808221719","2","1","2","2","4","2","3","3","5","663","70224","3","1","2","Rubens","2002"
"801-19-9784","1584808227751","1","2","1","2","2","1","1","2","4","875","96804","3","2","3","Warhol","1968"
"807-21-9989","1584808198219","2","2","1","2","1","1","4","3","2","511","48617","3","2","2","Kahlo","1962"
"814-09-8603","1584808190004","1","2","2","2","5","1","1","2","4","353","39045","3","2","1","Monet","1956"
"820-06-2520","1584808201158","1","2","1","1","4","2","2","2","3","48","79886","1","2","1","Vettriano","1983"
"833-42-2475","1584808219341","1","2","2","3","1","1","2","2","4","570","32556","2","1","2","Caravaggio","1983"
"833-65-9480","1584808224583","2","1","2","1","1","3","3","1","1","255","91723","2","2","2","Pissarro","1968"
"843-11-7166","1584808228964","2","2","2","1","3","1","5","2","4","924","39616","2","2","2","Raphael","2003"
"851-07-0420","1584808196172","1","2","1","3","3","3","4","1","4","748","62661","2","2","1","Da Vinci","1971"
"855-05-7147","1584808212539","3","2","2","3","5","1","3","2","3","64","28645","2","2","2","Ansel Adams","1960"
"855-82-4247","1584808195412","2","3","2","2","5","2","1","2","3","500","54145","2","3","3","Chagall","1976"
"856-30-6501","1584808206913","1","1","2","1","5","3","4","2","4","554","34437","1","2","2","Warhol","1952"
"889-78-1956","1584808188864","2","2","2","2","1","2","4","1","4","739","77306","2","2","2","Bernini","2003"
"897-36-7332","1584808224624","2","1","2","2","5","2","5","2","1","583","27982","2","2","1","Seurat","1955"
"897-92-0171","1584808197883","1","2","2","2","2","3","3","3","3","847","66079","2","2","1","Klimt","1993"
"898-95-7267","1584808200298","2","1","1","2","3","2","4","2","5","96","16844","2","2","2","Escher","1974"
